CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,area_total,tipo_suelo,riesgo_sismo,pct_afectacion_sismo,riesgo_inundacion,severidad_inundacion,pct_afectacion_inundacion,riesgo_laderas,pct_afectacion_laderas,ruse_emergencias,pob_total,imu_2020,fracturas_count,fracturas_longitud_m,suma_riesgos,riesgo_sismo_label,riesgo_inundacion_label,riesgo_laderas_label,tipo_suelo_label,riesgo_sismo_norm,riesgo_inundacion_norm,riesgo_laderas_norm,pct_afectacion_sismo_norm,pct_afectacion_inundacion_norm,pct_afectacion_laderas_norm,fracturas_count_norm,fracturas_longitud_m_norm,imu_2020_norm,ruse_emergencias_norm,pob_total_norm,tipo_suelo_norm,area_total_norm,severidad_inundacion_norm,indice_riesgo_compuesto,riesgo_general,riesgo_general_label,alto_riesgo,sismo_x_inundacion,fracturas_por_area,pob_densidad,log_pob,log_area,indice_x_pob,indice_x_area,imu_x_indice,sismo_x_suelo
0900200010491,09,002,0001,0491,373550.10083172313,2.0,4.0,71.14227899056884,5.0,100.0,88.27208124978215,1.0,24.028744930080148,15.0,6312.0,123.455449495799,0.0,0.0,10.0,Alto,Muy Alto,Muy Bajo,Mixto (Zona II),0.8,1.0,0.2,0.7114227899056884,0.8827208124978214,0.24028744930080148,0.0,0.0,0.7224919547709197,0.46153846153846156,0.6818779675144693,0.5,0.46866060601622733,1.0,0.5953461132386935,3,Medio,0,20.0,0.0,16897.33180621849,8.750366278367625,12.830810090345725,0.4106239050169517,0.2895516419130444,73.49872201545975,8.0
0900200010504,09,002,0001,0504,358436.7321538522,2.0,4.0,76.79313065319242,5.0,100.0,74.35523158763189,1.0,32.687914613995076,18.0,4754.0,124.139820854722,0.0,0.0,10.0,Alto,Muy Alto,Muy Bajo,Mixto (Zona II),0.8,1.0,0.2,0.7679313065319242,0.7435523158763189,0.3268791461399508,0.0,0.0,0.8000926978008626,0.5538461538461539,0.50732817825141,0.5,0.44830514993455417,1.0,0.6102083701818278,3,Medio,1,20.0,0.0,13263.149598070311,8.46695197497949,12.789510233988553,0.3169896292241064,0.28477267913933757,75.751157758424,8.0
0900200010519,09,002,0001,0519,271889.3963742333,2.0,4.0,70.50576284508935,5.0,100.0,67.37889463560205,1.0,30.981740385337314,7.0,2409.0,124.158101955766,0.0,0.0,10.0,Alto,Muy Alto,Muy Bajo,Mixto (Zona II),0.8,1.0,0.2,0.7050576284508935,0.6737889463560205,0.30981740385337314,0.0,0.0,0.8021655884996376,0.2153846153846154,0.24460721816034833,0.5,0.33173878210503416,1.0,0.5815898127779765,3,Medio,0,20.0,0.0,8860.220487172699,7.787382026484701,12.513154309563655,0.15309510560915102,0.20588121028495626,72.20908727132287,8.0
0900500013360,09,005,0001,3360,768055.0493886514,2.0,3.0,53.26931059118444,1.0,12.5,27.171828103870315,4.0,83.93977382205645,32.5,4725.0,120.827440933256,0.0,0.0,8.0,Medio,Muy Bajo,Alto,Mixto (Zona II),0.6,0.2,0.8,0.5326931059118444,0.27171828103870316,0.8393977382205645,0.0,0.0,0.42450254524430964,1.0,0.5040791770391964,0.5,1.0,0.125,0.45384057573516307,2,Bajo-Medio,1,3.0,0.0,6151.902788427675,8.460834457746852,13.551617990441633,0.23432188388227562,0.45384057573516307,54.836395357755315,6.0
0900300010855,09,003,0001,0855,331376.24948366306,2.0,4.0,82.43744350304888,5.0,100.0,85.23443902365561,1.0,18.848252910942954,13.0,2696.0,123.327448929388,0.0,0.0,10.0,Alto,Muy Alto,Muy Bajo,Mixto (Zona II),0.8,1.0,0.2,0.8243744350304888,0.8523443902365561,0.18848252910942953,0.0,0.0,0.7079779939918203,0.4,0.2767611267088066,0.5,0.41185871113706507,1.0,0.5993488545020301,3,Medio,0,20.0,0.0,8135.767135396085,7.89989532313973,12.711012731900729,0.17656608334562346,0.2585882036649586,73.91616524448632,8.0
0900300010889,09,003,0001,0889,284805.5389719524,2.0,5.0,83.97691375976585,5.0,100.0,81.58541255388951,1.0,28.980432433936823,6.0,2647.0,124.672124172995,0.0,0.0,11.0,Muy Alto,Muy Alto,Muy Bajo,Mixto (Zona II),1.0,1.0,0.2,0.8397691375976585,0.8158541255388951,0.2898043243393682,0.0,0.0,0.8604504735562561,0.18461538461538463,0.2712714350054113,0.5,0.34913490199043457,1.0,0.6431271316087024,3,Medio,0,25.0,0.0,9294.060816214238,7.881559917056898,12.559565418129813,0.1860195068970371,0.23848052231555145,80.18002561094224,10.0
0900300010893,09,003,0001,0893,306266.82926987647,2.0,5.0,85.70829987787927,5.0,100.0,74.14103969075299,1.0,21.061660610948124,10.0,1749.0,125.238948673481,0.0,0.0,11.0,Muy Alto,Muy Alto,Muy Bajo,Mixto (Zona II),1.0,1.0,0.2,0.8570829987787927,0.7414103969075299,0.21061660610948124,0.0,0.0,0.9247225998394356,0.3076923076923077,0.17066443195135012,0.5,0.3780400628071012,1.0,0.6563412314327367,4,Medio-Alto,0,25.0,0.0,5710.706589314687,7.4673710669175595,12.632215257170557,0.12543744891830372,0.2617202348060764,82.19948579569383,10.0
0900300011020,09,003,0001,1020,321958.6926199221,2.0,4.0,60.95512542160782,5.0,100.0,82.28881439102841,1.0,11.46866132520844,20.0,4471.0,124.299229824736,0.0,0.0,10.0,Alto,Muy Alto,Muy Bajo,Mixto (Zona II),0.8,1.0,0.2,0.6095512542160781,0.8228881439102841,0.1146866132520844,0.0,0.0,0.8181680517113349,0.6153846153846154,0.475622407801188,0.5,0.39917466503043997,1.0,0.6027494259997761,3,Medio,1,20.0,0.0,13886.874628597445,8.405591014834934,12.6821816384921,0.2944755158875593,0.25266472413242075,74.92128942907388,8.0
090030001129A,09,003,0001,129A,155616.8589900867,2.0,5.0,78.60635142061655,5.0,100.0,85.732121458339,1.0,15.006296013422267,10.0,3454.0,124.389494972898,0.0,0.0,11.0,Muy Alto,Muy Alto,Muy Bajo,Mixto (Zona II),1.0,1.0,0.2,0.7860635142061655,0.85732121458339,0.15006296013422266,0.0,0.0,0.8284032003272891,0.3076923076923077,0.3616832963245954,0.5,0.17513699605232275,1.0,0.6458437026913193,3,Medio,0,25.0,0.0,22195.538596624876,8.14757773620177,11.955158659140839,0.24375721456546104,0.1308554230472787,80.3361720091997,10.0
090030001136A,09,003,0001,136A,131806.9689218675,2.0,5.0,73.7261432078092,5.0,100.0,82.12524004685284,1.0,19.419440185921456,8.0,2243.0,125.258103925106,0.0,0.0,11.0,Muy Alto,Muy Alto,Muy Bajo,Mixto (Zona II),1.0,1.0,0.2,0.737261432078092,0.8212524004685284,0.19419440185921455,0.0,0.0,0.9268946103124693,0.24615384615384617,0.22600948708353966,0.5,0.1430686212297893,1.0,0.6425564143126401,3,Medio,0,25.0,0.0,17017.309618352618,7.716015266642587,11.789101361452424,0.15748828468592602,0.11026997791273706,80.48539812171614,10.0
0900500010262,09,005,0001,0262,225211.82595108007,2.0,3.0,50.66889260729065,3.0,61.0,54.22336351251702,1.0,29.500511043172335,5.0,4022.0,121.144987917171,0.0,0.0,7.0,Medio,Medio,Muy Bajo,Mixto (Zona II),0.6,0.6,0.2,0.5066889260729065,0.5422336351251702,0.29500511043172334,0.0,0.0,0.46050913958440576,0.15384615384615385,0.42531890627415747,0.5,0.26887104857724,0.61,0.4143298018342836,2,Bajo-Medio,0,9.0,0.0,17858.742466186693,8.299783171949787,12.324801127227476,0.18209413352756254,0.12149125416377599,50.193978836938136,6.0
0900300010249,09,003,0001,0249,204640.6180477246,2.0,4.0,85.11368540076742,1.0,12.5,13.29544859480167,1.0,18.16131887777247,10.0,740.0,125.457476776201,0.0,0.0,6.0,Alto,Muy Bajo,Muy Bajo,Mixto (Zona II),0.8,0.2,0.2,0.8511368540076742,0.1329544859480167,0.1816131887777247,0.0,0.0,0.9495014613784143,0.3076923076923077,0.0576215966712302,0.5,0.24116469614524808,0.125,0.44710448292799626,2,Bajo-Medio,0,4.0,0.0,3616.0954118474333,6.608000625296087,12.229015523582254,0.036153342880043404,0.11912653629596125,56.09260028347445,8.0
0900300010268,09,003,0001,0268,186172.1522525018,2.0,4.0,53.916902801066584,5.0,100.0,95.35309337754175,1.0,7.54392711798409,13.0,1305.0,124.680586353589,0.0,0.0,10.0,Alto,Muy Alto,Muy Bajo,Mixto (Zona II),0.8,1.0,0.2,0.5391690280106658,0.9535309337754175,0.0754392711798409,0.0,0.0,0.861409998663768,0.4,0.120921103047115,0.5,0.21629042407505208,1.0,0.5842040221740417,3,Medio,0,20.0,0.0,7009.641260579364,7.174724309836376,12.1344324457411,0.08330724459783909,0.1416077145111946,72.83890003478463,8.0
0900200010222,09,002,0001,0222,361171.8990404634,2.0,4.0,54.91801907776829,5.0,100.0,75.29189969098789,1.0,23.621049889503894,9.0,7064.0,122.589485873925,0.0,0.0,10.0,Alto,Muy Alto,Muy Bajo,Mixto (Zona II),0.8,1.0,0.2,0.5491801907776829,0.7529189969098788,0.23621049889503895,0.0,0.0,0.6243004983077576,0.27692307692307694,0.7661279299829036,0.5,0.4519890122569219,1.0,0.5645340555622179,3,Medio,0,20.0,0.0,19558.553748968698,8.862908295118627,12.797112067368033,0.4357611941748901,0.2654677383902548,69.2059396296941,8.0
0900200010434,09,002,0001,0434,324148.1799481771,2.0,4.0,85.04226864664068,5.0,100.0,91.20616834257179,1.0,23.465125772270113,10.0,2831.0,124.198855392329,0.0,0.0,10.0,Alto,Muy Alto,Muy Bajo,Mixto (Zona II),0.8,1.0,0.2,0.8504226864664068,0.9120616834257178,0.23465125772270112,0.0,0.0,0.8067866132065874,0.3076923076923077,0.2918857875242835,0.5,0.402123578280795,1.0,0.5999116071161035,3,Medio,0,20.0,0.0,8733.660020712145,7.94873845481361,12.688959120747025,0.18558157239203288,0.25318530973952363,74.50833494039261,8.0
0900200010449,09,002,0001,0449,262337.5460233364,2.0,4.0,67.03017618368844,5.0,100.0,96.94232388480671,1.0,22.98178924423463,10.0,2939.0,123.730336735705,0.0,0.0,10.0,Alto,Muy Alto,Muy Bajo,Mixto (Zona II),0.8,1.0,0.2,0.6703017618368844,0.9694232388480671,0.2298178924423463,0.0,0.0,0.7536613685519473,0.3076923076923077,0.303985516176665,0.5,0.3188738626777006,1.0,0.5828456709130097,3,Medio,0,20.0,0.0,11203.123779081776,7.986164860332727,12.477391109016873,0.18718061812963288,0.19907727074947254,72.11569112701459,8.0
0900200010631,09,002,0001,0631,497475.64109432785,2.0,3.0,51.02489732331525,5.0,100.0,94.52470563740336,1.0,34.914339869458715,20.0,5263.0,123.188263919931,0.0,0.0,9.0,Medio,Muy Alto,Muy Bajo,Mixto (Zona II),0.6,1.0,0.2,0.5102489732331525,0.9452470563740336,0.34914339869458716,0.0,0.0,0.6921958312644235,0.6153846153846154,0.5643537512519858,0.5,0.635569846833373,1.0,0.5385066324987965,3,Medio,1,15.0,0.0,10579.412468161565,8.568646473005153,13.117303881904261,0.30969353732624877,0.34879522301054056,66.33769716689504,6.0
